Abrev;IDFluxo;Periodo;Natureza;IDDisciplina
AEROESPACIAL;ENGENHARIA AEROESPACIAL/FGA - Bacharel - Presencial - D - 20121;1;Obrigatória;FGA0161
AEROESPACIAL;ENGENHARIA AEROESPACIAL/FGA - Bacharel - Presencial - D - 20121;1;Obrigatória;FGA0162
AEROESPACIAL;ENGENHARIA AEROESPACIAL/FGA - Bacharel - Presencial - D - 20121;1;Obrigatória;FGA0168
AEROESPACIAL;ENGENHARIA AEROESPACIAL/FGA - Bacharel - Presencial - D - 20121;1;Obrigatória;MAT0024
AEROESPACIAL;ENGENHARIA AEROESPACIAL/FGA - Bacharel - Presencial - D - 20121;1;Obrigatória;MAT0030
AEROESPACIAL;ENGENHARIA AEROESPACIAL/FGA - Bacharel - Presencial - D - 20121;2;Obrigatória;FGA0157
AEROESPACIAL;ENGENHARIA AEROESPACIAL/FGA - Bacharel - Presencial - D - 20121;2;Obrigatória;FGA0254
AEROESPACIAL;ENGENHARIA AEROESPACIAL/FGA - Bacharel - Presencial - D - 20121;2;Obrigatória;IFD0171
AEROESPACIAL;ENGENHARIA AEROESPACIAL/FGA - Bacharel - Presencial - D - 20121;2;Obrigatória;IFD0173
AEROESPACIAL;ENGENHARIA AEROESPACIAL/FGA - Bacharel - Presencial - D - 20121;2;Obrigatória;MAT0026
AEROESPACIAL;ENGENHARIA AEROESPACIAL/FGA - Bacharel - Presencial - D - 20121;2;Optativa;CIC0088
AEROESPACIAL;ENGENHARIA AEROESPACIAL/FGA - Bacharel - Presencial - D - 20121;3;Obrigatória;FGA0008
AEROESPACIAL;ENGENHARIA AEROESPACIAL/FGA - Bacharel - Presencial - D - 20121;3;Obrigatória;FGA0133
AEROESPACIAL;ENGENHARIA AEROESPACIAL/FGA - Bacharel - Presencial - D - 20121;3;Obrigatória;FGA0153
AEROESPACIAL;ENGENHARIA AEROESPACIAL/FGA - Bacharel - Presencial - D - 20121;3;Obrigatória;FGA0160
AEROESPACIAL;ENGENHARIA AEROESPACIAL/FGA - Bacharel - Presencial - D - 20121;3;Obrigatória;IQD0125
AEROESPACIAL;ENGENHARIA AEROESPACIAL/FGA - Bacharel - Presencial - D - 20121;3;Obrigatória;IQD0126
AEROESPACIAL;ENGENHARIA AEROESPACIAL/FGA - Bacharel - Presencial - D - 20121;3;Obrigatória;MAT0027
AEROESPACIAL;ENGENHARIA AEROESPACIAL/FGA - Bacharel - Presencial - D - 20121;4;Obrigatória;ENM0080
AEROESPACIAL;ENGENHARIA AEROESPACIAL/FGA - Bacharel - Presencial - D - 20121;4;Obrigatória;FGA0150
AEROESPACIAL;ENGENHARIA AEROESPACIAL/FGA - Bacharel - Presencial - D - 20121;4;Obrigatória;FGA0178
AEROESPACIAL;ENGENHARIA AEROESPACIAL/FGA - Bacharel - Presencial - D - 20121;4;Optativa;FGA0102
AEROESPACIAL;ENGENHARIA AEROESPACIAL/FGA - Bacharel - Presencial - D - 20121;5;Obrigatória;ENM0068
AEROESPACIAL;ENGENHARIA AEROESPACIAL/FGA - Bacharel - Presencial - D - 20121;5;Obrigatória;FGA0204
AEROESPACIAL;ENGENHARIA AEROESPACIAL/FGA - Bacharel - Presencial - D - 20121;5;Optativa;FGA0086
AEROESPACIAL;ENGENHARIA AEROESPACIAL/FGA - Bacharel - Presencial - D - 20121;5;Optativa;FGA0087
